IDENTYFIKATOR ZAMÓWIENIA,MARKETPLACE,NAZWA CENTRUM HANDLOWEGO,DATA PŁATNOŚCI ZAMÓWIENIA,TYP SPRZEDAŻY,SKU SPRZEDAWCY,STAWKA VAT OD PRZEDMIOTÓW,ILOŚĆ,"KRAJ WYJŚCIA TRANSAKCJI ",KRAJ PRZYBYCIA TRANSAKCJI,CENA PRODUKTÓW (BEZ VAT),CENA DOTACJI (BEZ VAT),CENA DOTACJI DO WYSYŁKI (BEZ VAT),CENA WYSYŁKI (BEZ VAT),"Etykieta wysyłkowa do zwrotu zakupu objętego platformą (wraz z podatkiem, jeśli dotyczy)","Etykieta wysyłkowa do korekty zwrotu zakupu objętego platformą (wraz z podatkiem, jeśli dotyczy)",KWOTA VAT OD PRZEDMIOTÓW,KWOTA VAT DOTACJI,KWOTA PODATKU VAT DOTACJI DO WYSYŁKI,KWOTA VAT WYSYŁKI,PODATEK CAŁKOWITY,WALUTA,IDENTYFIKATOR FAKTURY,IDENTYFIKATOR FAKTURY SUBWENCYJNEJ
PO-162-16147764193912454,PL,ExclusiveKG,20 sty. 2026,sales,53315576577817,23%,2,PL,PL,"33,58","6,42","0,00","10,56","0,00","0,00","7,72","1,48","0,00","2,43","11,63",PLN,INV-PL-1220800-2026-130,INV-PL-1220800-2026-131
PO-162-13378602706552320,PL,ExclusiveKG,24 sty. 2026,sales,64302102880366,23%,1,PL,PL,"40,98","0,00","0,00","0,00","0,00","0,00","9,42","0,00","0,00","0,00","9,42",PLN,INV-PL-1220800-2026-162,
PO-162-07745115840632618,PL,ExclusiveKG,25 sty. 2026,sales,58718645412546,23%,1,PL,PL,"12,21","0,00","0,00","10,56","0,00","0,00","2,81","0,00","0,00","2,43","5,24",PLN,,
PO-162-16514327347833823,PL,ExclusiveKG,2 sty. 2026,sales,55746528071538,23%,1,PL,PL,"43,29","0,00","0,00","10,56","0,00","0,00","9,96","0,00","0,00","2,43","12,39",PLN,INV-PL-1220800-2026-13,
PO-162-04590334856311166,PL,ExclusiveKG,3 sty. 2026,sales,56811679933856,23%,1,PL,PL,"9,44","1,56","0,00","10,56","0,00","0,00","2,17","0,36","0,00","2,43","4,96",PLN,INV-PL-1220800-2026-29,INV-PL-1220800-2026-30
PO-162-12563894037112792,PL,ExclusiveKG,8 sty. 2026,sales,55746528071538,23%,2,PL,PL,"86,58","0,00","0,00","0,00","0,00","0,00","19,92","0,00","0,00","0,00","19,92",PLN,INV-PL-1220800-2026-66,
PO-162-14934992438391493,PL,ExclusiveKG,12 sty. 2026,sales,55746528071538,23%,2,PL,PL,"86,58","0,00","0,00","0,00","0,00","0,00","19,92","0,00","0,00","0,00","19,92",PLN,INV-PL-1220800-2026-93,
PO-162-11956554767992060,PL,ExclusiveKG,16 sty. 2026,sales,66105989168936,23%,1,PL,PL,"14,43","0,00","0,00","10,56","0,00","0,00","3,32","0,00","0,00","2,43","5,75",PLN,INV-PL-1220800-2026-113,
PO-162-02360638779512200,PL,ExclusiveKG,23 sty. 2026,sales,58718645412546,23%,1,PL,PL,"12,21","0,00","0,00","10,56","0,00","0,00","2,81","0,00","0,00","2,43","5,24",PLN,INV-PL-1220800-2026-165,
PO-162-08716639109752925,PL,ExclusiveKG,29 sty. 2026,return,55995636157652,23%,0,PL,PL,"0,00","0,00","0,00","-4,67","0,00","0,00","0,00","0,00","0,00","-1,07","-1,07",PLN,,
PO-162-00623250913913868,PL,ExclusiveKG,31 sty. 2026,sales,55995636157652,23%,1,PL,PL,"17,76","0,00","0,00","10,56","0,00","0,00","4,09","0,00","0,00","2,43","6,52",PLN,,
PO-162-01246577010550872,PL,ExclusiveKG,15 sty. 2026,return,55746528071538,23%,1,PL,PL,"-43,29","0,00","0,00","-10,56","0,00","0,00","-9,96","0,00","0,00","-2,43","-12,39",PLN,,
PO-162-01242232987510642,PL,ExclusiveKG,15 sty. 2026,sales,55746528071538,23%,1,PL,PL,"43,29","0,00","0,00","10,56","0,00","0,00","9,96","0,00","0,00","2,43","12,39",PLN,INV-PL-1220800-2026-108,
PO-162-09382868524150024,PL,ExclusiveKG,16 sty. 2026,return,55746528071538,23%,1,PL,PL,"-37,20","0,00","0,00","-10,56","0,00","0,00","-8,56","0,00","0,00","-2,43","-10,99",PLN,CN-PL-1220800-2026-5,
PO-162-19602078303352555,PL,ExclusiveKG,30 sty. 2026,sales,55995636157652,23%,1,PL,PL,"17,76","0,00","0,00","10,56","0,00","0,00","4,09","0,00","0,00","2,43","6,52",PLN,,
PO-162-08716639109752925,PL,ExclusiveKG,29 sty. 2026,sales,55995636157652,23%,1,PL,PL,"1,50","14,50","0,00","10,56","0,00","0,00","0,35","3,34","0,00","2,43","6,12",PLN,INV-PL-1220800-2026-197,INV-PL-1220800-2026-198
PO-162-00238189686391045,PL,ExclusiveKG,31 sty. 2026,return,70246337646901,23%,1,PL,PL,"-12,21","0,00","0,00","-10,56","0,00","0,00","-2,81","0,00","0,00","-2,43","-5,24",PLN,,
PO-162-17153742372470266,PL,ExclusiveKG,2 sty. 2026,sales,55746528071538,23%,1,PL,PL,"43,29","0,00","0,00","10,56","0,00","0,00","9,96","0,00","0,00","2,43","12,39",PLN,,
PO-162-18297513045111131,PL,ExclusiveKG,10 sty. 2026,sales,55995636157652,23%,1,PL,PL,"17,76","0,00","0,00","10,56","0,00","0,00","4,09","0,00","0,00","2,43","6,52",PLN,INV-PL-1220800-2026-82,
PO-162-17001879731831461,PL,ExclusiveKG,2 sty. 2026,sales,56811679933856,23%,1,PL,PL,"12,21","0,00","0,00","10,56","0,00","0,00","2,81","0,00","0,00","2,43","5,24",PLN,INV-PL-1220800-2026-23,
PO-162-12748073884791726,PL,ExclusiveKG,8 sty. 2026,sales,55746528071538,23%,1,PL,PL,"43,29","0,00","0,00","10,56","0,00","0,00","9,96","0,00","0,00","2,43","12,39",PLN,INV-PL-1220800-2026-63,
PO-162-15337055373432937,PL,ExclusiveKG,4 sty. 2026,sales,55712168313383,23%,1,PL,PL,"24,42","0,00","0,00","10,56","0,00","0,00","5,62","0,00","0,00","2,43","8,05",PLN,INV-PL-1220800-2026-33,
PO-162-17211822418553792,PL,ExclusiveKG,18 sty. 2026,sales,52963389226870,23%,1,PL,PL,"16,64","0,00","0,00","10,56","0,00","0,00","3,83","0,00","0,00","2,43","6,26",PLN,INV-PL-1220800-2026-118,
PO-162-13327833375352110,PL,ExclusiveKG,25 sty. 2026,sales,65470333998831,23%,1,PL,PL,"15,54","0,00","0,00","0,00","0,00","0,00","3,58","0,00","0,00","0,00","3,58",PLN,INV-PL-1220800-2026-170,
PO-162-19414179745911435,PL,ExclusiveKG,30 sty. 2026,sales,58778774990010,23%,1,PL,PL,"17,76","0,00","0,00","10,56","0,00","0,00","4,09","0,00","0,00","2,43","6,52",PLN,,
PO-162-16852064604791584,PL,ExclusiveKG,2 sty. 2026,sales,56811679933856,23%,1,PL,PL,"12,21","0,00","0,00","10,56","0,00","0,00","2,81","0,00","0,00","2,43","5,24",PLN,INV-PL-1220800-2026-39,
PO-162-15372506133112949,PL,ExclusiveKG,4 sty. 2026,sales,56811679933856,23%,1,PL,PL,"12,21","0,00","0,00","10,56","0,00","0,00","2,81","0,00","0,00","2,43","5,24",PLN,INV-PL-1220800-2026-24,
PO-162-02037634880630287,PL,ExclusiveKG,8 sty. 2026,return,55712168313383,23%,1,PL,PL,"-24,42","0,00","0,00","-10,56","0,00","0,00","-5,62","0,00","0,00","-2,43","-8,05",PLN,,
PO-162-17969262840953087,PL,ExclusiveKG,10 sty. 2026,sales,54634936842016,23%,1,PL,PL,"16,65","0,00","0,00","10,56","0,00","0,00","3,83","0,00","0,00","2,43","6,26",PLN,INV-PL-1220800-2026-85,
PO-162-03513064218234005,PL,ExclusiveKG,11 sty. 2026,sales,65470333998831,23%,1,PL,PL,"15,54","0,00","0,00","10,56","0,00","0,00","3,58","0,00","0,00","2,43","6,01",PLN,INV-PL-1220800-2026-86,
PO-162-14869395802231114,PL,ExclusiveKG,12 sty. 2026,sales,55746528071538,23%,1,PL,PL,"43,29","0,00","0,00","10,56","0,00","0,00","9,96","0,00","0,00","2,43","12,39",PLN,INV-PL-1220800-2026-92,
PO-162-06228351263353949,PL,ExclusiveKG,17 sty. 2026,sales,55746528071538,23%,1,PL,PL,"27,03","11,97","0,00","10,56","0,00","0,00","6,22","2,75","0,00","2,43","11,40",PLN,INV-PL-1220800-2026-111,INV-PL-1220800-2026-112
PO-162-05185743637111747,PL,ExclusiveKG,19 sty. 2026,sales,68846178312392,23%,1,PL,PL,"16,65","0,00","0,00","10,56","0,00","0,00","3,83","0,00","0,00","2,43","6,26",PLN,INV-PL-1220800-2026-132,
PO-162-12322944686710132,PL,ExclusiveKG,16 sty. 2026,sales,55746528071538,23%,1,PL,PL,"43,29","0,00","0,00","10,56","0,00","0,00","9,96","0,00","0,00","2,43","12,39",PLN,INV-PL-1220800-2026-107,
PO-162-05180341238391779,PL,ExclusiveKG,19 sty. 2026,sales,53315576577817,23%,1,PL,PL,"22,20","0,00","0,00","10,56","0,00","0,00","5,11","0,00","0,00","2,43","7,54",PLN,INV-PL-1220800-2026-110,
PO-162-10915976254070070,PL,ExclusiveKG,21 sty. 2026,sales,63133871828449,23%,3,PL,PL,"69,96","0,00","0,00","0,00","0,00","0,00","16,08","0,00","0,00","0,00","16,08",PLN,INV-PL-1220800-2026-135,
PO-162-05901073165431803,PL,ExclusiveKG,1 sty. 2026,sales,69066026959882,23%,1,PL,PL,"42,86","0,00","0,00","10,56","0,00","0,00","9,86","0,00","0,00","2,43","12,29",PLN,INV-PL-1220800-2026-5,
PO-162-06904398981753759,PL,ExclusiveKG,9 sty. 2026,sales,65470333998831,23%,1,PL,PL,"15,54","0,00","0,00","10,56","0,00","0,00","3,58","0,00","0,00","2,43","6,01",PLN,INV-PL-1220800-2026-87,
PO-162-02023610217590371,PL,ExclusiveKG,7 sty. 2026,sales,68846178312392,23%,1,PL,PL,"16,65","0,00","0,00","10,56","0,00","0,00","3,83","0,00","0,00","2,43","6,26",PLN,INV-PL-1220800-2026-61,
PO-162-14575115620473380,PL,ExclusiveKG,12 sty. 2026,sales,55746528071538,23%,1,PL,PL,"43,29","0,00","0,00","10,56","0,00","0,00","9,96","0,00","0,00","2,43","12,39",PLN,INV-PL-1220800-2026-91,
PO-162-13327833375352110,PL,ExclusiveKG,25 sty. 2026,sales,54772375775018,23%,1,PL,PL,"42,86","0,00","0,00","0,00","0,00","0,00","9,86","0,00","0,00","0,00","9,86",PLN,INV-PL-1220800-2026-170,
PO-162-00425825997432164,PL,ExclusiveKG,31 sty. 2026,sales,57163867231571,23%,1,PL,PL,"5,10","0,00","0,00","0,00","0,00","0,00","1,17","0,00","0,00","0,00","1,17",PLN,,
PO-162-18076111852152736,PL,ExclusiveKG,10 sty. 2026,sales,68846178312392,23%,1,PL,PL,"16,65","0,00","0,00","10,56","0,00","0,00","3,83","0,00","0,00","2,43","6,26",PLN,INV-PL-1220800-2026-89,
PO-162-07412145485430765,PL,ExclusiveKG,9 sty. 2026,sales,60805999551687,23%,1,PL,PL,"38,85","0,00","0,00","10,56","0,00","0,00","8,94","0,00","0,00","2,43","11,37",PLN,INV-PL-1220800-2026-77,
PO-162-10785103908471394,PL,ExclusiveKG,21 sty. 2026,sales,55712168313383,23%,1,PL,PL,"12,22","9,78","0,00","10,56","0,00","0,00","2,82","2,25","0,00","2,43","7,50",PLN,INV-PL-1220800-2026-136,INV-PL-1220800-2026-137
PO-162-16668363162232681,PL,ExclusiveKG,2 sty. 2026,sales,58168889577706,23%,1,PL,PL,"22,56","0,00","0,00","10,56","0,00","0,00","5,19","0,00","0,00","2,43","7,62",PLN,INV-PL-1220800-2026-17,
PO-162-16932716588151104,PL,ExclusiveKG,2 sty. 2026,sales,54634936824277,23%,1,PL,PL,"14,83","2,17","0,00","6,41","0,00","0,00","3,41","0,50","0,00","1,48","5,39",PLN,INV-PL-1220800-2026-11,INV-PL-1220800-2026-12
PO-162-15309960060792584,PL,ExclusiveKG,4 sty. 2026,sales,68846178312392,23%,1,PL,PL,"16,65","0,00","0,00","10,56","0,00","0,00","3,83","0,00","0,00","2,43","6,26",PLN,INV-PL-1220800-2026-19,
PO-162-04165696225913731,PL,ExclusiveKG,3 sty. 2026,sales,56811679933856,23%,1,PL,PL,"12,21","0,00","0,00","10,56","0,00","0,00","2,81","0,00","0,00","2,43","5,24",PLN,,
PO-162-01856288945271366,PL,ExclusiveKG,7 sty. 2026,sales,68846178312392,23%,1,PL,PL,"16,65","0,00","0,00","10,56","0,00","0,00","3,83","0,00","0,00","2,43","6,26",PLN,,
PO-162-18026224220793546,PL,ExclusiveKG,10 sty. 2026,sales,55746528071538,23%,1,PL,PL,"43,29","0,00","0,00","10,56","0,00","0,00","9,96","0,00","0,00","2,43","12,39",PLN,INV-PL-1220800-2026-72,
PO-162-10886736502390788,PL,ExclusiveKG,22 sty. 2026,return,65934190508958,23%,1,PL,PL,"-57,06","-6,94","0,00","0,00","0,00","0,00","-13,12","-1,60","0,00","0,00","-14,72",PLN,,
PO-162-10634754880632546,PL,ExclusiveKG,21 sty. 2026,sales,55995636157652,23%,1,PL,PL,"17,76","0,00","0,00","10,56","0,00","0,00","4,09","0,00","0,00","2,43","6,52",PLN,INV-PL-1220800-2026-139,
PO-162-08716639109752925,PL,ExclusiveKG,29 sty. 2026,sales,55995636157652,23%,1,PL,PL,"17,76","0,00","0,00","9,74","0,00","0,00","4,09","0,00","0,00","2,24","6,33",PLN,INV-PL-1220800-2026-197,INV-PL-1220800-2026-198
PO-162-08716639109752925,PL,ExclusiveKG,29 sty. 2026,return,55995636157652,23%,0,PL,PL,"0,00","0,00","0,00","-5,07","0,00","0,00","0,00","0,00","0,00","-1,17","-1,17",PLN,,
PO-162-19478829194871048,PL,ExclusiveKG,30 sty. 2026,sales,58718645412546,23%,2,PL,PL,"16,28","5,72","0,00","10,56","0,00","0,00","3,76","1,32","0,00","2,43","7,51",PLN,INV-PL-1220800-2026-194,INV-PL-1220800-2026-195
PO-162-21073973361271220,PL,ExclusiveKG,19 sty. 2026,return,61776662144869,23%,1,PL,PL,"-97,38","0,00","0,00","0,00","0,00","0,00","-22,40","0,00","0,00","0,00","-22,40",PLN,CN-PL-1220800-2026-6,
PO-162-02110743922553915,PL,ExclusiveKG,23 sty. 2026,sales,55995636157652,23%,1,PL,PL,"17,76","0,00","0,00","10,56","0,00","0,00","4,09","0,00","0,00","2,43","6,52",PLN,INV-PL-1220800-2026-156,
PO-162-14303321319033224,PL,ExclusiveKG,28 sty. 2026,sales,58718645412546,23%,1,PL,PL,"12,21","0,00","0,00","10,56","0,00","0,00","2,81","0,00","0,00","2,43","5,24",PLN,INV-PL-1220800-2026-184,
PO-162-00416304991352095,PL,ExclusiveKG,31 sty. 2026,sales,58718645412546,23%,1,PL,PL,"12,21","0,00","0,00","10,56","0,00","0,00","2,81","0,00","0,00","2,43","5,24",PLN,,
PO-162-08536903347831885,PL,ExclusiveKG,29 sty. 2026,sales,58718645412546,23%,1,PL,PL,"12,21","0,00","0,00","10,56","0,00","0,00","2,81","0,00","0,00","2,43","5,24",PLN,,
PO-162-17048689623670668,PL,ExclusiveKG,2 sty. 2026,sales,56811679933856,23%,1,PL,PL,"12,21","0,00","0,00","10,56","0,00","0,00","2,81","0,00","0,00","2,43","5,24",PLN,INV-PL-1220800-2026-40,
PO-162-12785926197112012,PL,ExclusiveKG,8 sty. 2026,sales,55746528071538,23%,1,PL,PL,"43,29","0,00","0,00","10,56","0,00","0,00","9,96","0,00","0,00","2,43","12,39",PLN,INV-PL-1220800-2026-65,
PO-162-12700068255352524,PL,ExclusiveKG,8 sty. 2026,sales,55746528071538,23%,2,PL,PL,"86,58","0,00","0,00","0,00","0,00","0,00","19,92","0,00","0,00","0,00","19,92",PLN,INV-PL-1220800-2026-64,
PO-162-01334141025910382,PL,ExclusiveKG,15 sty. 2026,sales,55746528071538,23%,1,PL,PL,"43,29","0,00","0,00","10,56","0,00","0,00","9,96","0,00","0,00","2,43","12,39",PLN,INV-PL-1220800-2026-104,
PO-162-02488241833591921,PL,ExclusiveKG,23 sty. 2026,sales,55995636157652,23%,1,PL,PL,"14,62","1,38","0,00","10,56","0,00","0,00","3,37","0,32","0,00","2,43","6,12",PLN,INV-PL-1220800-2026-145,INV-PL-1220800-2026-146
PO-162-16932716588151104,PL,ExclusiveKG,2 sty. 2026,sales,67849745899989,23%,1,PL,PL,"9,59","1,41","0,00","4,15","0,00","0,00","2,21","0,32","0,00","0,95","3,48",PLN,INV-PL-1220800-2026-11,INV-PL-1220800-2026-12
PO-162-02800174641270172,PL,ExclusiveKG,27 sty. 2026,sales,70246337646901,23%,1,PL,PL,"12,21","0,00","0,00","10,56","0,00","0,00","2,81","0,00","0,00","2,43","5,24",PLN,INV-PL-1220800-2026-178,
PO-162-12302787948150028,PL,ExclusiveKG,16 sty. 2026,sales,65161096345584,23%,1,PL,PL,"43,29","0,00","0,00","10,56","0,00","0,00","9,96","0,00","0,00","2,43","12,39",PLN,INV-PL-1220800-2026-114,
PO-162-08716639109752925,PL,ExclusiveKG,29 sty. 2026,return,55995636157652,23%,0,PL,PL,"0,00","0,00","0,00","-0,40","0,00","0,00","0,00","0,00","0,00","-0,09","-0,09",PLN,,
PO-162-19414121408631435,PL,ExclusiveKG,30 sty. 2026,return,58778774990010,23%,1,PL,PL,"-17,76","0,00","0,00","-10,56","0,00","0,00","-4,09","0,00","0,00","-2,43","-6,52",PLN,,
PO-162-08921310561913625,PL,ExclusiveKG,29 sty. 2026,sales,55995636157652,23%,1,PL,PL,"17,76","0,00","0,00","10,56","0,00","0,00","4,09","0,00","0,00","2,43","6,52",PLN,INV-PL-1220800-2026-189,
PO-162-05891498696311858,PL,ExclusiveKG,2 sty. 2026,sales,56811679933856,23%,1,PL,PL,"8,10","2,90","0,00","10,56","0,00","0,00","1,87","0,67","0,00","2,43","4,97",PLN,INV-PL-1220800-2026-3,INV-PL-1220800-2026-4
PO-162-01442571838074088,PL,ExclusiveKG,7 sty. 2026,sales,55746528071538,23%,1,PL,PL,"43,29","0,00","0,00","10,56","0,00","0,00","9,96","0,00","0,00","2,43","12,39",PLN,INV-PL-1220800-2026-45,
PO-162-07493624530550023,PL,ExclusiveKG,9 sty. 2026,sales,55746528071538,23%,1,PL,PL,"43,29","0,00","0,00","10,56","0,00","0,00","9,96","0,00","0,00","2,43","12,39",PLN,,
PO-162-00792246408313100,PL,ExclusiveKG,15 sty. 2026,sales,68949257537231,23%,1,PL,PL,"38,85","0,00","0,00","0,00","0,00","0,00","8,94","0,00","0,00","0,00","8,94",PLN,INV-PL-1220800-2026-105,
PO-162-19944548495993632,PL,ExclusiveKG,14 sty. 2026,sales,55746528071538,23%,1,PL,PL,"43,29","0,00","0,00","10,56","0,00","0,00","9,96","0,00","0,00","2,43","12,39",PLN,INV-PL-1220800-2026-102,
PO-162-09104614633593477,PL,ExclusiveKG,13 sty. 2026,sales,55746528071538,23%,2,PL,PL,"86,58","0,00","0,00","0,00","0,00","0,00","19,92","0,00","0,00","0,00","19,92",PLN,INV-PL-1220800-2026-96,
PO-162-20713861202553110,PL,ExclusiveKG,6 sty. 2026,sales,68846178312392,23%,1,PL,PL,"16,65","0,00","0,00","10,56","0,00","0,00","3,83","0,00","0,00","2,43","6,26",PLN,INV-PL-1220800-2026-47,
PO-162-04045501553270095,PL,ExclusiveKG,11 sty. 2026,return,54140210271535,23%,1,PL,PL,"-55,50","0,00","0,00","0,00","0,00","0,00","-12,77","0,00","0,00","0,00","-12,77",PLN,,
PO-162-09453661527670626,PL,ExclusiveKG,13 sty. 2026,sales,55746528071538,23%,1,PL,PL,"43,29","0,00","0,00","10,56","0,00","0,00","9,96","0,00","0,00","2,43","12,39",PLN,INV-PL-1220800-2026-94,
PO-162-05034851866232900,PL,ExclusiveKG,19 sty. 2026,sales,55995636157652,23%,1,PL,PL,"17,76","0,00","0,00","10,56","0,00","0,00","4,09","0,00","0,00","2,43","6,52",PLN,INV-PL-1220800-2026-126,
PO-162-02517333806711266,PL,ExclusiveKG,23 sty. 2026,sales,55995636157652,23%,1,PL,PL,"17,76","0,00","0,00","10,56","0,00","0,00","4,09","0,00","0,00","2,43","6,52",PLN,INV-PL-1220800-2026-153,
PO-162-03143755081592220,PL,ExclusiveKG,27 sty. 2026,sales,70246337646901,23%,1,PL,PL,"12,21","0,00","0,00","10,56","0,00","0,00","2,81","0,00","0,00","2,43","5,24",PLN,INV-PL-1220800-2026-185,
